"fullExchangeName","exchangeTimezoneName","symbol","regularMarketChange","gmtOffSetMilliseconds","exchangeDataDelayedBy","language","regularMarketTime","regularMarketChangePercent","exchangeTimezoneShortName","quoteType","marketState","regularMarketPrice","market","priceHint","tradeable","exchange","sourceInterval","region","shortName","triggerable","regularMarketPreviousClose","headSymbolAsString","currency","longName","quoteSourceName"
"SNP","America/New_York","^GSPC","{'raw': 48.670166, 'fmt': '48.67'}","-14400000","0","en","{'raw': 1590008917, 'fmt': '5:08PM EDT'}","{'raw': 1.66511, 'fmt': '1.67%'}","EDT","INDEX","POST","{'raw': 2971.61, 'fmt': '2,971.61'}","us_market","2.0","False","SNP","15","US","S&P 500","True","{'raw': 2922.94, 'fmt': '2,922.94'}","nan","nan","nan","nan"
"DJI","America/New_York","^DJI","{'raw': 369.04102, 'fmt': '369.04'}","-14400000","0","en","{'raw': 1590008917, 'fmt': '5:08PM EDT'}","{'raw': 1.5245308, 'fmt': '1.52%'}","EDT","INDEX","POST","{'raw': 24575.9, 'fmt': '24,575.90'}","us_market","2.0","False","DJI","120","US","Dow 30","True","{'raw': 24206.86, 'fmt': '24,206.86'}","nan","nan","nan","nan"
"Nasdaq GIDS","America/New_York","^IXIC","{'raw': 190.67188, 'fmt': '190.67'}","-14400000","0","en","{'raw': 1590009359, 'fmt': '5:15PM EDT'}","{'raw': 2.0758815, 'fmt': '2.08%'}","EDT","INDEX","POST","{'raw': 9375.776, 'fmt': '9,375.78'}","us_market","2.0","False","NIM","15","US","Nasdaq","False","{'raw': 9185.1, 'fmt': '9,185.10'}","nan","nan","nan","nan"
"Chicago Options","America/New_York","^RUT","{'raw': 39.20813, 'fmt': '39.21'}","-14400000","20","en","{'raw': 1590006607, 'fmt': '4:30PM EDT'}","{'raw': 2.998207, 'fmt': '3.00%'}","EDT","INDEX","POST","{'raw': 1346.9274, 'fmt': '1,346.93'}","us_market","2.0","False","WCB","15","US","Russell 2000","True","{'raw': 1307.7192, 'fmt': '1,307.72'}","nan","nan","nan","nan"
"NY Mercantile","America/New_York","CL=F","{'raw': 1.5600014, 'fmt': '1.56'}","-14400000","30","en","{'raw': 1590008399, 'fmt': '4:59PM EDT'}","{'raw': 4.881106, 'fmt': '4.88%'}","EDT","FUTURE","REGULAR","{'raw': 33.52, 'fmt': '33.52'}","us24_market","nan","False","NYM","30","US","Crude Oil","False","{'raw': 31.96, 'fmt': '31.96'}","CL=F","nan","nan","nan"
"COMEX","America/New_York","GC=F","{'raw': 5.800049, 'fmt': '5.80'}","-14400000","30","en","{'raw': 1590008395, 'fmt': '4:59PM EDT'}","{'raw': 0.33226678, 'fmt': '0.33%'}","EDT","FUTURE","REGULAR","{'raw': 1751.4, 'fmt': '1,751.40'}","us24_market","nan","False","CMX","15","US","Gold","False","{'raw': 1745.6, 'fmt': '1,745.60'}","GC=F","nan","nan","nan"
"COMEX","America/New_York","SI=F","{'raw': 0.16400146, 'fmt': '0.16'}","-14400000","30","en","{'raw': 1590008399, 'fmt': '4:59PM EDT'}","{'raw': 0.91615814, 'fmt': '0.92%'}","EDT","FUTURE","REGULAR","{'raw': 18.065, 'fmt': '18.07'}","us24_market","nan","False","CMX","15","US","Silver","False","{'raw': 17.901, 'fmt': '17.90'}","SI=F","nan","nan","nan"
"CCY","Europe/London","EURUSD=X","{'raw': 0.0056390762, 'fmt': '0.0056'}","3600000","0","en-US","{'raw': 1590010808, 'fmt': '10:40PM BST'}","{'raw': 0.5161438, 'fmt': '0.5161%'}","BST","CURRENCY","REGULAR","{'raw': 1.0981771, 'fmt': '1.0982'}","ccy_market","4.0","False","CCY","15","US","EUR/USD","True","{'raw': 1.092538, 'fmt': '1.0925'}","nan","USD","nan","nan"
"NYBOT","America/New_York","^TNX","{'raw': -0.031000018, 'fmt': '-0.0310'}","-14400000","30","en","{'raw': 1590001195, 'fmt': '2:59PM EDT'}","{'raw': -4.360059, 'fmt': '-4.36%'}","EDT","INDEX","REGULAR","{'raw': 0.68, 'fmt': '0.6800'}","us24_market","4.0","False","NYB","30","US","10-Yr Bond","False","{'raw': 0.711, 'fmt': '0.7110'}","nan","nan","Treasury Yield 10 Years","nan"
"Chicago Options","America/New_York","^VIX","{'raw': -2.540001, 'fmt': '-2.54'}","-14400000","20","en","{'raw': 1590005699, 'fmt': '4:14PM EDT'}","{'raw': -8.319689, 'fmt': '-8.32%'}","EDT","INDEX","POST","{'raw': 27.99, 'fmt': '27.99'}","us_market","2.0","False","WCB","15","US","Vix","True","{'raw': 30.53, 'fmt': '30.53'}","nan","nan","nan","nan"
"CCY","Europe/London","GBPUSD=X","{'raw': -0.0010788441, 'fmt': '-0.0011'}","3600000","0","en-US","{'raw': 1590010808, 'fmt': '10:40PM BST'}","{'raw': -0.08809789, 'fmt': '-0.0881%'}","BST","CURRENCY","REGULAR","{'raw': 1.2235409, 'fmt': '1.2235'}","ccy_market","4.0","False","CCY","15","US","GBP/USD","True","{'raw': 1.2246197, 'fmt': '1.2246'}","nan","USD","nan","nan"
"CCY","Europe/London","JPY=X","{'raw': -0.1949997, 'fmt': '-0.1950'}","3600000","0","en-US","{'raw': 1590010859, 'fmt': '10:40PM BST'}","{'raw': -0.180991, 'fmt': '-0.1810%'}","BST","CURRENCY","REGULAR","{'raw': 107.545, 'fmt': '107.5450'}","ccy_market","4.0","False","CCY","15","US","USD/JPY","True","{'raw': 107.74, 'fmt': '107.7400'}","nan","JPY","nan","Delayed Quote"
